Publication Category,Publication Year,DOI,Authors,Title,Journal,Short Citation,PMCID,ISSN,ISBN,PMID
Journal Article,2012,10.1007/s11160-012-9271-9,Martins EG; Hinch SG; Cooke SJ; Patterson DA,"Climate effects on growth, phenology, and survival of sockeye salmon (Oncorhynchus nerka): a synthesis of the current state of knowledge and future research directions",a - other journal,Rev Fish Biol Fisher. 2012 Dec;22(4)887-914.  10.1007/s11160-012-9271-9.,,,,
Journal Article,2007,10.1007/s11295-006-0061-1,Berube Y; Zhuang J; Ralph S; Rungis D; Bohlmann J; Ritland K,Characterization of EST-SSRs in loblolly pine and spruce.,Tree Genetics & Genomes,Tree Genet Genomes. 2007 May;3(3):251-9.,,,,
Journal Article,2009,10.1007/s11295-008-0189-2,Liewlaksaneeyanawin C; Zhuang J; Tang M; Farzaneh N; Lueng G; Oddy C; Findlay S; Ritland CE; Bohlmann J; K Ritland,Identification of COS markers in the Pinaceae.,Tree Genetics & Genomes,Tree Genet Genomes. 2009 Jan;5(1):247-55.,,,,
Journal Article,2009,10.1007/s11295-009-0220-2,Lippert D; Yuen M; Bohlmann J,Spruce proteome DB: a resource for conifer proteomics research,Tree Genetics & Genomes,Tree Genet Genomes. 2009;5(4):723-727. 10.1007/s11295-009-0220-2.,,,,
Journal Article,2010,10.1007/s11295-010-0275-0,Albouyeh R; Farzaneh N; Bohlmann J; Ritland K,Multivariate analysis of digital gene expression profiles identifies a xylem signature of the vascular tissue of white spruce (Picea glauca).,,Tree Genet Genomes. 2010 Jul;6(4):601-11.,,,,
Journal Article,2012,10.1007/s11295-012-0467-x,Kelleher CT; Wilkin J; Zhuang J; Cortés AJ; Quintero ALP; Gallagher TF; Bohlmann J; Douglas CJ; Ellis BE; Ritland K,"SNP discovery, gene diversity, and linkage disequilibrium in wild populations of Populus tremuloides",,Tree Genet Genomes. 2012 Aug;8(4):821-29.,,,,
Journal Article,2013,10.1007/s11295-012-0584-6,Reid KE; Holliday JA; Yuen M; Nguyen A; Aitken SN; Bohlmann J,Sequencing of Sitka spruce (Picea sitchensis) cDNA libraries constructed from autumn buds and foliage reveals autumn-specific spruce transcripts.,,Tree Genet Genomes. 2013 Jun;9(3):683-91.,,,,
Journal Article,2013,10.1007/s11295-013-0608-x,Cullingham CI; Cooke JEK; Dang S; Coltman DW,"A species-diagnostic SNP panel for discriminating lodgepole pine, jack pine, and their interspecific hybrids",a - other journal,Tr Gen Genom. 2013 Aug;9(4):1119-27. 10.1007/s11295-013-0608-x,,,,
Journal Article,2014,10.1007/s11295-013-0676-y,Doerksen TK; Bousquet J; Beaulieu J,Inbreeding depression in intra-provenance crosses driven by founder relatedness in white spruce.,,Tree Genet Genomes. 2014 Feb;10(1):203-12.,,,,
Journal Article,2014,10.1007/s11295-014-0735-z,"Meirmans PG, Gros-Louis MC, Lamothe M, Perron M, Bousquet J, Isabel N",Rates of spontaneous hybridization and hybrid recruitment in co-existing exotic and native mature larch populations,Tree Genetics & Genomes,Tree Genetics & Genomes (2014) 10: 965. 10.1007/s11295-014-0735-z,,,,
Journal Article,2015,10.1007/s11295-015-0871-0,"Galindo Gonzalez LM, El Kayal W, Morris JS, Cooke JEK",Diverse chitinases are invoked during the activity-dormancy transition in spruce,Tree Genetics & Genomes,Tree Genetics & Genomes (2015) 11: 41. 10.1007/s11295-015-0871-0,,,,
Journal Article,2013,10.1007/s11306-012-0458-9,Saleem; F; Bouatra S; Guo AC; Psychogios N; Mandal R; Dunn SM; Ametaj BN; Wishart DS,The Bovine Ruminal Fluid Metabolome,Metabolomics,Metabol. 2013 Apr;9(2):360-78.  10.1007/s11306-012-0458-9.,,,,
Journal Article,2014,10.1007/s11306-014-0667-5,"Peng J, St. Laurent CD, Befus AD, Zhou R, Li L",Metabolomic profiling of bronchoalveolar lavage fluids by isotope labeling liquid chromatography mass spectrometry: a promising approach to studying experimental asthma,Metabolomics,"Peng, J et al. Metabolomics (2014) 10: 0. 10.1007/s11306-014-0667-5",,,,
Journal Article,2015,10.1007/s11306-014-0676-4,"Allen F, Greiner R, Wishart D",Competitive fragmentation modeling of ESI-MS/MS spectra for putative metabolite identification,Metabolomics,"Allen, F et al. Metabolomics (2015) 11: 98. 10.1007/s11306-014-0676-4",,,,
Journal Article,2015,10.1007/s11306-015-0826-3,Han W; Li L,Matrix effect on chemical isotope labeling and its implication in metabolomic sample preparation for quantitative metabolomics,Metabolomics,"Han, W et al. Metabolomics (2015) 11: 1733. 10.1007/s11306-015-0826-3",,,,
Journal Article,2016,10.1007/s11306-016-0957-1,"Bahado-Signh, R.O.,Graham, S.F. Turkoglu, O, Beauchamp, K, Bjorndahl, T.C., Han, B, Mandal, R., Pantane, J., Kowalenko, Wishart, D.S., Stahel, P.F.",Identification of candidate biomarks of brain damage in a mouse model of closed head injury: a metabolic pilot study.,Metabolomics,,,,,
Journal Article,2017,10.1007/s11306-017-1237-4,"Guanshi Zhang, Elda Dervishi, Rupasri Mandal, David S. Wishart, Burim N. Ametaj","Metallotyping of ketotic dairy cows reveals major alterations preceding, associating, and following the disease occurrence",Metabolomics,,,,,
Journal Article,2011,10.1007/s13225-011-0129-6,Vialle A; Frey P; Hambleton S; Bernier L,Poplar rust systematics and refinement of Melampsora species delineation,a - other journal,Fung Div. 2011 Sept;50(1):227-48.  10.1007/s13225-011-0129-6.,,,,
Journal Article,2012,10.1007/s13253-012-0103-0,Reyes PE; Zhu J; Aukema BH,Selection of Spatial-Temporal Lattice Models: Assessing the Impact of Climate Conditions on a Mountain Pine Beetle Outbreak,a - other journal,J Agr Biol Env Stat. 2012 Sep;17(3):508-25. 10.1007/s13253-012-0103-0,,,,
Journal Article,2012,10.1007/s13592-011-0105-x,Pernal SF; Sewalem A; Melathopoulos AP,Breeding for hygienic behaviour in honeybees (Apis mellifera) using free-mated nucleus colonies,,Apidologie. 2012;43(4):403-16.,,,,
Journal Article,2015,10.1007/s13721-015-0090-5,"Sedghi E, Weber JH, Thomo A, Bibok M, Penn AMW",Mining clinical text for stroke prediction,Network Modeling Analysis in Health Informatics and Bioinformatics,"Sedghi, E., Weber, J.H., Thomo, A. et al. Netw Model Anal Health Inform Bioinforma (2015) 4: 16. 10.1007/s13721-015-0090-5",,,,
