Publication Category,Publication Year,DOI,Authors,Title,Journal,Short Citation,PMCID,ISSN,ISBN,PMID
Journal Article,2015,10.1021/acs.molpharmaceut.5b00003,"Liu Z, Amouroux G, Zhang Z, Pan J, Hundal-Jabal N, Colpo N, Lau J, Perrin D, Benard F, Lin K",18F-Trifluoroborate Derivatives of [Des-Arg10]-Kallidin for Imaging Bradykinin B1 Receptor Expression with Positron Emission Tomography,Molecular Pharmaceutics,Molecular Pharmaceutics 2015 12: 974-8,,,,
Journal Article,2014,10.1021/bc5003357,Liu Z; Radtke MA; Wong MQ; Lin KS; Yapp DT; Perrin DM,"Dual Mode Fluorescent 18F-PET Tracers: Efficient Modular Synthesis of Rhodamine-[cRGD]2-[18F]-Organotrifluoroborate, Rapid, and High Yielding One-Step 18F-Labeling at High Specific Activity, and Correlated in Vivo PET Imaging and ex Vivo Fluorescence",Bioconjugate Chemistry,"Bioconjugate Chem., 2014, 25 (11), pp 1951",,,,
Journal Article,2007,10.1038/nrd2223,Hancock REW,The End of an Era?,Nature Reviews Drug Discovery,Nat Rev Drug Discov. 2007 Jan; 6(1):28-28.,,,,
Journal Article,2018,10.1038/s41538-018-0032-6,"Damion Dooley, Emma Griffiths , Gurinder Gosal , Pier Buttigieg , Robert Hoehndorf , Matthew Lange , Lynn Schriml , Fiona Brinkman , William Hsiao","FoodOn: A Harmonized Food Ontology to Increase Global Food Traceability, Quality Control and Data Integration.",Nature Partner Journals Science of Food,,,,,
Journal Article,2018,10.1038/s42003-018-0087-6,"Sarah A. Michaud, Nicholas J. Sinclair, Helena P?tro",Molecular phenotyping of laboratory mouse strains using 500 multiple reaction monitoring mass spectrometry plasma assays,Communications Biology,,PMC6123701,,,30271959
Journal Article,2016,10.1038/srep32272,"Huan, T,Troyer DA,Li, L",Metabolite Analysis and Histology on the Exact Same Tissue: Comprehensive Metabolomic Profiling and Metabolic Classification of Prostate Cancer,Scientific Reports,,PMC5006072,,,27578275
Journal Article,2014,10.1039/C3MD00328K,Liu Z; Hundal-Jabal N: Wong M; Yapp D; Lin KS; B,A new 18F -heteroaryltrifluoroborate radio-prosthetic with greatly enhanced stability that is labelled by 18F,Medicinal Chemistry Communication,"Med. Chem. Commun., 2014,5, 171-179",,,,
Journal Article,2014,10.1039/C4AN01309C,Cao G; Hajisalem G; Li W; Hof F; Gordon R,Quantification of an exogeneous cancer biomarker in urinalysis by Raman spectroscopy,Analyst,,,,,
Journal Article,2014,10.1039/C4GC00757C,Gao G; Karaaslan M; Kadla J; Ko F,Enzymatic synthesis of ionic responsive lignin nanofibres through surface poly(N-isopropylacrylamide) immobilization,Green Chemistry,"Green Chem., 2014,16, 3890-3898,  10.1039/C4GC00757C",,,,
Journal Article,2014,10.1039/C4RA01628A,"Stephen A, Adebusuyi A, Baldygin A, Shuster J, Southam G, Budwill K, Foght J, Nobese DS, Mitra SK",Bioconversion of coal: new insights from a core flooding study,Royal Society of Chemistry - Advances,"RSC Adv., 2014,4, 22779-22791",,,,
Journal Article,2014,10.1039/C4SC01850H,"Wang X, Han J, Yang J, Pan J, Borchers CH",Matrix coating assisted by an electric field (MCAEF) for enhanced tissue imaging by MALDI-MS,Chemical Science,Chem. Sci. 2015. 6: 729-738,,,,
Journal Article,2010,10.1071/FP09271,Podolyan A; White J; Jordan B; Winefield C,Identification of the lipoxygenase gene family from Vitis vinifera and biochemical characterization of two 13-lipoxygenases expressed in grape berries of Sauvignon blanc.,a - other journal,Funct Plan Biol. 2010 Jul;37(8):767-84.,,,,
Journal Article,2014,10.1080/00028487.2014.889751,Beachama TD; Beamisha RJ; Candya JR; Wallacea C; Tuckera S; Mossb JH; Trudela M,Stock-Specific Size of Juvenile Sockeye Salmon in British Columbia Waters and the Gulf of Alaska.,,T Am Fish Soc. 2014 Jun;143(4):876-88.,,,,
Journal Article,2013,10.1080/00222933.2012.738833,Skern-Mauritzen R; Malde K; Besneir F; Nilsen F; Jonassen I; Reinhardt R; Koop BF; Dalvin S; Maehle S; Hongshaug H; Glover KA,How does sequence variability affect de novo assembly quality?,a - other journal,J Nat Hist. 2013;47(5-12):901-910.  10.1080/00222933.2012.738833.,,,,
Journal Article,2014,10.1080/02773813.2014.909656,Gao G; Xu WZ; Kadla J,Reversible pH-Responsive Hydrogels of Softwood Kraft Lignin and Poly[(2-dimethylamino)ethyl Methacrylate]-based Polymers,Journal of Wood Chemistry and Technology,,,,,
Journal Article,2011,10.1080/02827581.2011.564405,Stephenson PG; Harris N; Cottrell JE; Ralph SG; Bohlmann J; Taylor G,A transcriptomic approach to identify genes associated with wood density in Picea sitchensis.,,Scand J Forest Res. 2011 Apr;26(S11):82-96.,,,,
Journal Article,2013,10.1080/07011784.2013.822186,Cook C; Prystajecky N; Feze IN; Joly Y; Dunn G; Kirby E; Özdemir V; Isaac-Renton J,A comparison of the regulatory frameworks governing microbial testing of drinking water in three Canadian provinces,,Can J Water Res J. 2013 Oct;38(3):185-95.,,,,
Journal Article,2015,10.1080/07011784.2015.1043648,"Dunn G, Harris L,",Microbial risk governance: challenges and opportunities in fresh water management in Canada,Canadian Water Resources Journal,,,,,
Journal Article,2008,10.1080/07060660809507543,Plattner A; Kim J; Diguistini S; Breuil C,"Variation in pathogenicity of a mountain pine beetle–associated blue-stain fungus, Grosmannia clavigera , on young lodgepole pine in British Columbia",Canadian Journal of Plant Pathology-Revue Canadienne De Phytopathologie,Can J Plant Path. 2008 Sep;30(3):457-66.,,,,
Journal Article,2012,10.1080/07060661.2012.664567,Bakkeren G; Song X; Panwar V; Linning R; Wang X; Rampitsch C McCallum; B.; Fellers; J.; and Saville; B,Functional genomic approaches in cereal rusts.,a - other journal,Can J Plant Pathol. 2012 Apr;34(1):3-12.  10.1080/07060661.2012.664567.,,,,
Journal Article,2012,10.1080/07060661.2012.665389,Hamelin RC,Contributions of genomics to forest pathology.,Canadian Journal of Plant Pathology-Revue Canadienne De Phytopathologie,Can J Plant Pathol. 2012 Apr;34(1):20-8.,,,,
Journal Article,2014,10.1080/07060661.2014.924999,Gagnon MC; Bergeron MJ; Hamelin RC; Gr,Real-time PCR assay to distinguish Phytophthora ramorum lineages using the cellulose binding elicitor lectin (CBEL) locus.,Canadian Journal of Plant Pathology-Revue Canadienne De Phytopathologie,,,,,
Journal Article,2016,10.1080/07060661.2015.1135476,"McGregor RR, Sakalidis ML, Hamelin RC.",Neofusicoccum arbuti: a hidden threat to Arbutus menziesii characterized by widespread latent infections and a broad host range.,Canadian Journal of Plant Pathology-Revue Canadienne De Phytopathologie,Journal of Plant Pathology. Epub 2016 Jan 11.  10.1080/07060661.2015.1135476.,,,,
Journal Article,2009,10.1080/13669870802648486,Holmes BJ; Henrich N; Hancock S; Lestou V,Communicating with the public during health crises: experts' experiences and opinions.,Journal of Risk Research,"Journal of Risk Research 2009, 12(6): 793-807.",,,,
Journal Article,2008,10.1080/13698570802166431,Holmes BJ,Communicating about Emerging Infectious Disease: The Importance of Research.,Health Risk & Society,"Health, Risk & Society. Sep 2008;10(4):349-60.",,,,
Journal Article,2010,10.1080/14636778.2010.507487,Hawkins AK; O'Doherty K,Biobank governance: a lesson in trust.,,New Gen Soc. 2010 Sep;29(3):311-27.,,,,
Journal Article,2014,10.1080/17597269.2014.913899,Luckert MK,Market and government failures in the competition for land for biofuel production in Canada,Biofuels,"Biofuels Vol. 5, Iss. 3, 2014",,,,
Journal Article,2005,10.1086/431808,Poulis BAD; O'Leary SJ; Haddow JD; von Aderkas P,Identification of Proteins Present in the Douglas Fir Ovular Secretion: An Insight into Conifer Pollen Selection and Development.,International Journal of Plant Sciences,Int J Plant Sci. 2005 Sep;166(5):733-39.,,,,
Journal Article,2008,10.1086/594527,Danielson P; Mesoudi A; Stanev R,NERD and Norms: Framework and Experiments.,Philosophy of Science,Philos Sci. 2008;75(5):830-42.,,,,
Journal Article,2013,10.1086/671197,Moyers BT; Rieseberg LH,Divergence in Gene Expression Is Uncoupled from Divergence in Coding Sequence in a Secondarily Woody Sunflower,,Int J Plant Sci. 2013 Sep;174(7):1079-89.,,,,
Journal Article,2011,10.1089/blr.2011.9983,Goulding R; Voell MR; Marden E; Levy E,Expansion of the Canadian Research Exemption for Biotechnology Research Tools,,Biotechnol Law Rep. 2011 Feb;30(1):59-63.,,,,
Journal Article,2017,10.1093/cid/cix832,"Nosyk, Min JE, Krebs E, Zang X, Compton M, Gustafson R, Barrios R, Montaner JSG for the STOP HIV/AIDS Study Group","The cost-effectiveness of HIV testing and treatment engagement initiatives in British Columbia, Canada: 2011",Clinical Infectious Diseases,"Clinical Infectious Diseases, cix832, 10.1093/cid/cix832",PMC5850008,1058-4838,,29028964
Journal Article,2016,10.1093/conphys/cow026,"Patterson DA, Cooke SJ, Hinch SG, Robinson KA, Young N, Farrell AP, Miller KM",A perspective on physiological studies supporting the provision of scientific advice for the management of Fraser River sockeye salmon (Oncorhynchus nerka),Conservation Physiology,Conservation Physiology. 2016 Aug 3.  10.1093/conphys/cow026,PMC5001150,,,27928508
Journal Article,2017,10.1093/conphys/cox017,"Teffer AK, Hinch SG, Miller KM, Patterson DA, Farrell AP, Cooke SJ, Bass AL, Szekeres P, Juanes F","Capture severity, infectious disease processes and sex influence post-release mortality of sockeye salmon bycatch",Conservation Physiology,Conserv Physiol 5(1): cox017; 10.1093/conphys/cox017,PMC5569998,,,28852514
Journal Article,2017,10.1093/hmg/ddx316,"Farhan S, Nixon KCJ, Everest M, Edwards TN, Long S, Segal D, Knip MJ, Arts HH, Chakrabarti R, Wang J, Robinson JF, Lee D, Mirsattari SM, Rupar CA, Siu VM, FORGE Canada Consortium, Poulter MO, Hegele RA, Kramer JM","Identification of a novel synaptic protein, TMTC3, involved in periventricular nodular heterotopia with intellectual disability and epilepsy",Human Molecular Genetics,"Human Molecular Genetics, ddx316, 10.1093/hmg/ddx316",PMC5886076,0964-6906,,28973161
Journal Article,2015,10.1093/infdis/jiv271,Gardy JL; Naus M; Amlani A; Chung W; Kim H; Tan M; Severini A; Krajden M; Puddicombe D; Sahni1 V; Hayden AS; Gustafson R; Henry B; Tang P,Whole-Genome Sequencing of Measles Virus Genotypes H1 and D8 During Outbreaks of Infection Following the 2010 Olympic Winter Games Reveals Viral Transmission Routes,Journal of Infectious Diseases,J Infect Dis. (2015)  10.1093/infdis/jiv271,,,,
Journal Article,2009,10.1093/jof/107.3.119,Maness TC,Forest management and climate change mitigation: Good policy requires careful thought.,Journal of Forestry,J Forest. 2009 Apr;107(3):119-24.,,,,
Journal Article,2009,10.1093/jof/108.6.274,Schwab O; Maness T,Rebuilding spatial forest inventories from aggregated data.,Journal of Forestry,J Forest. 2010;108(6):274-81.,,,,
Journal Article,2013,10.1093/scipol/sct003,Marcoux JM; Létourneau L,A distorted regulatory landscape: Genetically modified wheat and the influence of non-safety issues in Canada,,Sci Public Pol. 2013 Mar;40(4):514-28.,,,,
Journal Article,2017,10.1093/treephys/tpx100,"La Mantia J, Unda F, Douglas CJ, Mansfield SD, Hamelin R",Overexpression of AtGolS3 and CsRFS in poplar enhances ROS tolerance and represses defense response to leaf rust disease,Tree Physiology,"Tree Physiology, 10.1093/treephys/tpx100",,,,
Journal Article,2016,10.1094/PDIS-11-16-1586-RE,"Gagnon M-C, Feau N, Dale AL, Dhillon B, Hamelin R, Brasier C, Grunwald NJ, Briere SC, Bilodeau G",Development and validation of polymorphic microsatellite loci for the NA2 lineage of Phytophthora ramorum from whole genome sequence data.,Plant Disease,"Plant Disease, , Volume 0, Number ja ( http://dx.10.1094/PDIS-11-16-1586-RE)10.1094/PDIS-11-16-1586-RE)",,,,
Journal Article,2015,10.1094/PDIS-12-14-1338-RE,"Munck IA, Tanguay P, Weimer J, Villani SM, Cox K",Impact of White Pine Blister Rust on Resistant Cultivated Ribes and Neighboring Eastern White Pine in New Hampshire,Plant Disease,,,,,
Journal Article,2016,10.1097/TXD.0000000000000589,"Ho, J.,Sharma, A.,Mandal, R., Wishart, D., Wiebe, C., Storsely, L., Karpinkski, M., Gibson, I., Nickerson, P., Rush, D.",Detecting Renal Allograft Inflammation Using Quantitative Urine Metabolomics and CXCL10,Transplantation Direct,,PMC4946516,,,27500268
Journal Article,2014,10.1098/rstb.2013.0345,Renaut S; Rowe HC; Ungerer M; Rieseberg LH,Genomics of homoploid hybrid speciation: Diversity and transcriptional activity of LTR retrotransposons in hybrid sunflowers.,Philosophical Transactions of the Royal Society: Biological Sciences,"Phil. Trans. R. Soc. B August 5, 2014 369 1648 20130345; 1471-2970",PMC4071519,0962-8436,,24958919
Journal Article,2014,10.1101/007153.,"Verta JP, Landry CR, MacKay J",The genetic landscape of transcriptional networks in a combined haploid/diploid plant system.,Genome Biology,,,,,
Journal Article,2017,10.1101/100149,"Hammond SA, Warren RL, Vandervalk BP, Kucuk E, Khan H, Gibb EA, Pandoh P, Kirk H, Zhao Y, Jones M, Mungall AJ, Coope R, Pleasance S, Moore RA, Holt RA, Round JM, Ohora S, Veldhoen N, Helbing CC, Birol I",It?s okay to be green: Draft genome of the North American Bullfrog (Rana [Lithobates] catesbeiana),bioRxiv,,,,,
Journal Article,2017,10.1101/203554,"Birney, E., Vamathevan, J., Goodhand, P.",Genomics in healthcare: GA4GH looks to 2022,bioRxiv,,,,,
Journal Article,2014,10.1108/IJCST-05-2013-0064,"McQueen RH, Harynuk JJ, Wismer WV, Keelan M, Xu Y, de la Mata, PA",Axillary odour build-up in knit fabrics following multiple use cycles,International Journal of Clothing Science and Technology,International Journal of Clothing Science and Technology26.4 (2014): 290-274.,,,,
Journal Article,2016,10.1111/cjag.12121,"Hauer G, Luckert MKM, Yemshanov D, Unterschultz J.",A Spatial Real Options Approach for Modeling Land Use Change: Assessing the Potential for Poplar Energy Plantations in Alberta,Canadian Journal of Agricultural Economics,Canadian Journal of Agricultural Economics 00 (2016) 1,,,,
Journal Article,2016,10.1111/efp.12321,"Lamarche J, Potvin A, Stewart D, Blais M, Pelletier G, Shamoun SF, Hamelin RC, Tanguay P","Real-time PCR assays for the detection of Heterobasidion irregulare, H. occidentale, H. annosum sensu stricto and the Heterobasidion annosum complex",Forest Pathology,Forest Pathology.  10.1111/efp.12321,,,,
Journal Article,2017,10.1111/eva.12559,"Picq S, Keena M, Havill N, Stewart D, Pouliot E, Boyle B, Levesque RC, Hamelin RC, Cusson M",Assessing the potential of genotyping-by-sequencing (GBS)-derived SNPs to identify the geographicorigins of intercepted gypsy moth (Lymantria dispar) specimens: a proof-of-concept study,Evolutionary Applications,,,,,
Journal Article,2008,10.1111/j.1095-8649.2008.01910.x,VonSchalburg KR; Cooper GA; Leong J; Robb A; Lieph R; Rise ML; Davidson WS; Koop BF,Expansion of the genomics research on Atlantic salmon Salmo salar L. project (GRASP) microarray tools.,,J Fish Biol. 2008 Jun;72(9):2051-70.,,,,
Journal Article,2010,10.1111/j.1365-2486.2010.02225.x,Hague M; Ferrari M; MillerJ; Patterson D; Russell G; Farrell A; Hinch S,Modelling the future hydroclimatology of the lower Fraser River Basin and its impacts on the spawning migration survival of sockeye salmon,a - other journal,Glob Change Biol. 2010 Feb; 17(1):87-98.  10.1111/j.1365-2486.2010.02225.x,,,,
Journal Article,2011,10.1111/j.1365-2486.2010.02241.x,Martins EG; Hinch SG; Patterson DA; Hague MJ; Cooke SJ; Miller KM; Lapointe MF; English KK; Farrell AP,Effects of river temperature and climate warming on stock-specific survival of adult migrating Fraser River sockeye salmon (Oncorhynchus nerka).,a - other journal,Glob Change Biol. 2011 Apr;17(1):99-114.  10.1111/j.1365-2486.2010.02241.x,,,,
Journal Article,2012,10.1111/j.1365-2699.2011.02673.x,de la Giroday HMC; Carroll AL; Aukema BH,Breach of the northern Rocky Mountain geoclimatic barrier: initiation of range expansion by the mountain pine beetle,Journal of Biogeography,J Biogeography. 2012 Jun;39(6):1112,,,,
Journal Article,2012,10.1111/j.1365-3059.2012.02660.x,Wang X; McCallum BD; Fetch T; Bakkeren G; Marais GF; Saville B,"Comparative microscopic and molecular analysis of Thatcher near isogenic lines with wheat leaf rust resistance genes Lr2a, Lr3, LrB or Lr9 upon challenge with different Puccinia triticina races",a - other journal,Plant Path. 2012 Jul;62(3):698-707.  10.1111/j.1365-3059.2012.02660.x.,,,,
Journal Article,2005,10.1111/j.1399-0004.2005.0507a.x,Ross C,Coagulating evidence for a new genetic link to drug responsiveness to warfarin therapy.,Clinical Genetics,"Clinical Genetics, 68: 327–329.  10.1111/j.1399-0004.2005.0507a.x",,,,
Journal Article,2009,10.1111/j.1439-0329.2009.00593.x,Rice AV; Langor DW,"Mountain pine beetle-associated blue-stain fungi in lodgepole x jack pine hybrids near Grande Prairie, Alberta (Canada).",Forest Pathology,Forest Path. 2009 Oct;39(5):323-34.,,,,
Journal Article,2010,10.1111/j.1468-5914.2009.00429.x,O'Doherty KC; Davidson HJ,Subject Positioning and Deliberative Democracy: Understanding Social Processes Underlying Deliberation.,,J Theor Soc Behav. 2010 Feb;40(2):224-45.,,,,
Journal Article,2005,10.1111/j.1471-8286.2005.01056.x,Ng SHS; Chang A; Brown GD; Koop BF; Davidson WS,Type I microsatellite markers from Atlantic salmon (Salmo salar) expressed sequence tags.,Molecular Ecology,Mol Ecol. 2005 Dec;5(4):762–6.,,,,
Journal Article,2012,10.1111/j.1600-0587.2011.06847.x,Sambaraju KR; Carroll AL; Zhu J; Stahl K; Moore RD; Aukema BH,Climate change could alter the distribution of mountain pine beetle outbreaks in western Canada,Ecography,Ecography. 2012 Mar;35(3):211,,,,
Journal Article,2012,10.1111/j.1600-0633.2011.00536.x,Hammill E; Curtis JMR; Patterson DA; Farrell AP; Hinch SG; Miller K,Comparison of techniques for correlating survival and gene expression data from wild salmon.,a - other journal,Ecol Freshw Fish. 2012 Apr;21(2):189-99.  10.1111/j.1600-0633.2011.00536.x,,,,
Journal Article,2012,10.1111/j.1752-4571.2012.00266.x,Cullingham CI; James PM; Cooke JE; Coltman DW,Characterizing the physical and genetic structure of the lodgepole pine x jack pine hybrid zone: mosaic structure and differential introgression,Evolutionary Applications,Evol Appl. Early View (Online Version of Record published before inclusion in an issue).,PMC3552405,,,23346232
Journal Article,2008,10.1111/j.1755-0238.2008.00014.x,Antolín MC; Santesteban H; Santa María E; Aguirreolea J; Sánchez?Díaz M,Involvement of abscisic acid and polyamines in berry ripening of Vitis vinifera (L.) subjected to water deficit irrigation,Australian Journal of Grape and Wine Research,Aust J Grape Wine R. 2008 Jul;14(2):123-33.,,,,
Journal Article,2011,10.1111/j.1755-0238.2010.00119.x,Bramley RGV; Trought MCT; Praat JP,"Vineyard variability in Marlborough, New Zealand: characterising variation in vineyard performance and options for implementation of precision viticulture.",Australian Journal of Grape and Wine Research,Aust J Grape Wine R. 2011 Jan;17(1):72-78.  10.1111/j.1755-0238.2010.00119.x.,,,,
Journal Article,2011,10.1111/j.1755-0238.2010.00120.x,Trought MCT; Bramley RGV,"Vineyard variability in Marlborough, New Zealand: characterising spatial and temporal changes in fruit composition and juice quality in the vineyard.",Australian Journal of Grape and Wine Research,Aust J Grape Wine R. 2011 Jan;17(1):79-89.,,,,
Journal Article,2011,10.1111/j.1755-0238.2011.00141.x,Trought MCT; Bennett JS; Boldingh H,"Influence of retained cane number and pruning time on grapevine yield components, fruit composition and vine phenology of Sauvignon Blanc vines.",Australian Journal of Grape and Wine Research,Aust J Grape Wine R. 2011 May;17(2):258-262.,,,,
Journal Article,2011,10.1111/j.1755-0238.2011.00160.x,Pineau; B; Trought MCT; Stronge K; Beresford MK; Wohlers MW; Jaeger SR,"Influence of fruit ripeness and juice capitalization on the sensory properties and degree of typicality expressed by Sauvignon Blanc wines from Marlborough, New Zealand: Fruit ripeness and juice chaptalisation.",Australian Journal of Grape and Wine Research,Aust J Grape Wine R. 2011 Oct;17(3):358-67.,,,,
Journal Article,2012,10.1111/j.1755-0238.2012.00192.x,Gregan S; Wargent J; Liu L; Shinkle J; Hofmann R; Winefield C; Trought M; Jordan B,Effects of solar ultraviolet radiation and canopy manipulation on the biochemical composition of Sauvignon Blanc grapes.,Australian Journal of Grape and Wine Research,Aust J Grape Wine R. 2010 Jun;18(2):227-38.,,,,
Journal Article,2017,10.1111/jfd.12607,"Bass AL, Hinch SG, Teffer AK, Patterson DA, Miller KM",A survey of microparasites present in adult migrating Chinook salmon (Oncorhynchus tshawytscha) in southwestern British Columbia determined by high-throughput quantitative polymerase chain reaction,Journal of Fish Disease,J Fish Dis 2017. 10.1111/jfd.12607,,,,
Journal Article,2014,10.1111/mec.12600,Renaut S; Owens GL; Rieseberg LH,Shared selection pressure and local genomic landscape lead to repeatable patterns of genomic divergence in sunflowers,Molecular Ecology,"Molecular Ecology (2014) 23, 311",,,,
Journal Article,2014,10.1111/nph.12818,Marchand G; Huynh-Thu VA; Kane N; Arribat S; Var,Bridging physiological and evolutionary time scales in a gene regulatory network.,New Phytologist,"New Phytologist Volume 203, Issue 2, pages 685",,,,
Journal Article,2016,10.1111/rec.12322,"Garris HA, Baldwin SA, Van Hamme JD, Gardner WC, Fraser LH",Genomics to assist mine reclamation: a review,Restoration Ecology,"Restoration Ecology, 24: 165 -173. 2016.  10.1111/rec.12322",,,,
Journal Article,2014,10.1115/1.4028300,"Goudarzi A, Lin L, Ko F",X-Ray Diffraction Analysis of Kraft Lignins and Lignin-Derived Carbon Nanofibers,Journal of Nanotechnology in Engineering and Medicine,J. Nanotechnol. Eng. Med 5(2)  10.1115/1.4028300,,,,
Journal Article,2007,10.1139/B07-098,Hamberger B; Ellis M; Friedmann M; de Azevedo Souza C; Barbazuk B; Douglas CJ.,"Genome-wide analyses of phenylpropanoid-related genes in Populus trichocarpa, Arabidopsis thaliana, and Oryza sativa: the Populus lignin toolbox and conservation and diversification of angiosperm gene families",Canadian Journal of Botany,"Canadian Journal of Botany, 2007, 85(12): 1103-1110, 10.1139/B07-125",,,,
Journal Article,2007,10.1139/B07-109,Philippe RN; Bohlmann J,Poplar defense against insect herbivores.,Canadian Journal of Botany,Can J Bot. 2007 Dec;85(12):1111-26.,,,,
Journal Article,2010,10.1139/B10-049,Robert JA; Madilao LL; White R; Yanchuk A; King J; Bohlmann J,"Terpenoid metabolite profiling in Sitka spruce identifies association of dehydroabietic acid, (+)-3-carene, and terpinolene with resistance against white pine weevil.",,Bot. 2010 Jun;88(9):810-20.,,,,
Journal Article,2011,10.1139/b11-032,Kane NC; Gill N; King MG; Bowers JE; Berges H; Gouzy J; Baclava E; Langlade NB,Progress towards a reference genome for sunflower.,,Bot. 2011 Aug;89(7):429-37.,,,,
Journal Article,2011,10.1139/b11-065,Harrower E; Ammirati JF; Cappuccino AA; Ceska O; Kranabetter JM; Kroeger P; Lim S; Taylor T; Berbee ML,Cortinarius species diversity in British Columbia and molecular phylogenetic comparison with European specimen sequences.,a - other journal,Bot. 2011 Nov;89(11):799-810.  10.1139/b11-065.,,,,
Journal Article,2012,10.1139/b2012-003,Ammirati JF; Seidl MT; Ceska O; Berbee M; Harrower E; Liimatainen K; Barlow TE,"Cortinarius parkeri, a new species from the Pacific Northwest of North America.",a - other journal,Bot. 2012 Apr;90(4):327-35.  10.1139/b2012-003.,,,,
Journal Article,2016,10.1139/cjc-2016-0411,"Li W, Kuehne NW, Dallin E, Gordon R, Hof F","A supramolecular indicator displacement assay for acetyl amantadine, a proxy biomarker for spermidine/spermine N1-acetyltransferase (SSAT) activity",Canadian Journal of Chemistry,"Canadian Journal of Chemistry, 10.1139/cjc-2016-0411",,,,
Journal Article,2017,10.1139/cjfas-2016-0452,"Beacham TD, Wallace CG, MacConnachie C, Jonsen Kim, McIntosh B, Candy JR, Devlin RH, Withler RE",Population and individual identification of Coho Salmon in British Columbia through parentage-based tagging and genetic stock identification: an alternative to coded-wire tags,Canadian Journal of Fisheries and Aquatic Sciences,"Canadian Journal of Fisheries and Aquatic Sciences, 10.1139/cjfas-2016-0452",,,,
Journal Article,2014,10.1139/cjfr-2014-0082,Lamarche J; Stewart D; Pelletier G; Hamelin RC; Tanguay P.,Real-time PCR detection and discrimination of the Ceratocystis coerulescens complex and of the fungal species from the Ceratocystis polonica complex validated on pure cultures and bark beetle vectors,Canadian Journal of Forest Research-Revue Canadienne De Recherche Forestiere,"Canadian Journal of Forest Research, 2014, 44(9): 1103-1111, 10.1139/cjfr-2014-0082",,,,
Journal Article,2014,10.1139/cjfr-2014-0142,Hajjar R; McGuigan E; Moshofsky M; Kozak R,Opinions on strategies for forest adaptation to future climate conditions in western Canada: surveys of the general public and leaders of forest-dependent communities,Canadian Journal of Forest Research-Revue Canadienne De Recherche Forestiere,"Canadian Journal of Forest Research, 2014, 44(12): 1525-1533, 10.1139/cjfr-2014-0142",,,,
Journal Article,2011,10.1139/F10-153,Hruska KA; Hinch SG; Patterson DA; Healey MC,Egg retention in relation to arrival timing and reproductive longevity in female sockeye salmon (Oncorhynchus nerka).,a - other journal,Can J Fish Aquat Sci. 2011 Jan;68(2):250-9.  10.1139/F10-153,,,,
Journal Article,2012,10.1139/f2011-154,Martins EG; Hinch SG; Patterson DA; Hague MJ; Cooke SJ; Miller KM; Robinchaud D; English KK; Farrell AP,High river temperature reduces survival of sockeye salmon (Oncorhynchus nerka) approaching spawning grounds and exacerbates female mortality,a - other journal,Can J Fish Aquat Sci. 2012 Feb;69(2):330-42.  10.1139/f2011-154.,,,,
Journal Article,2018,10.1139/facets-2018-0008,"Di Cicco, Emiliano; Ferguson, Hugh W; Kaukinen, Karia H; Schulze, Angela D; Li, Shaorong; Tabata, Amy; Gunther, Oliver P; Mordecai, Gideon; Suttle, Curtis A; Miller, Kristina M","The same strain of Piscine orthoreovirus (PRV-1) is involved with the development of different, but related, diseases in Atlantic and Pacific Salmon in British Columbia",FACETS,,,,,
Journal Article,2009,10.1139/X09-099,Schwab; O.; T. Maness; G. Bull and D. Roberts,Modeling the effect of changing market conditions on mountain pine beetle salvage harvesting and structural changes in the British Columbia forest products industry.,Canadian Journal of Forest Research-Revue Canadienne De Recherche Forestiere,Can J Forest Res. 2009 Oct;39(10):1806-20.,,,,
Journal Article,2011,10.1139/X11-007,MacQuarrie CJK; Cooke BJ,Density-dependent population dynamics of mountain pine beetle in thinned and unthinned stands,a - other journal,Canadian Journal of Forest Research. 2011 Apr;41(5):1031-46. 10.1139/x11-007,,,,
Journal Article,2011,10.1139/x11-041,Boone CK; Aukema BH; Bohlmann J; Carroll AL; Raffa KF,Efficacy of tree defense physiology varies with bark beetle population density: a basis for positive feedback in eruptive species,Canadian Journal of Forest Research-Revue Canadienne De Recherche Forestiere,"Can J Forest Res. 2011, 41(6): 1174-1188, 10.1139/x11-041",,,,
Journal Article,2012,10.1139/x2012-087,Lenz P; Bernier-Cordou M; MacKay J; Beaulieu J,Can wood properties be predicted from morphological traits of a tree? A canonical correlation study of plantation-grown white spruce.,,Can J For Res. 2012 Aug;42(8):1518–29.,,,,
Journal Article,2005,10.1145/1055709.1055712,Sander J; Ng R; Sleumer MC; Yuen MS; Jones S,A methodology for analyzing SAGE libraries for cancer profiling.,ACM Transactions On Information Systems,ACM T Inform Syst. 2005 Jan;23(1):35-60. 10.1145/1055709.1055712.,,,,
Journal Article,2013,10.1146/annurev-ecolsys-110512-135747,Aitken SN; Whitlock MC,Assisted Gene Flow to Facilitate Local Adaptation to Climate Change,,Annu Rev Ecol Evol Syst. 2013 Sep;44:367-88.,,,,
Journal Article,2004,10.1163/1568539042948150,Kingsley D; Zhu B; Osoegawa K; de Jong P; Schein J; Marra M; Peichel C; Amemiya C; Schluter D; Balabhadra S; Friedlander B; Cha YM; Dickson M; Grimwood J; Schmutz J; Talbot WS; Myers R,New genomic tools for molecular studies of evolutionary change in sticklebacks.,Behaviour,Behaviour. 2004; 141(11-12):1331-44.  10.1163/1568539042948150.,,,,
